epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.767,0.9281,3.78513,1.16859,0.00575,0.97018,0.42033,0.32289,0.70407,4.04891,0.89668,0.00020825,0.00020825,0.00020825
2,100.584,0.90735,2.64286,1.1366,0.00448,0.97638,0.57001,0.43832,0.75226,3.94547,0.94475,0.000420624,0.000420624,0.000420624
3,150.714,0.86974,1.98449,1.08354,0.91705,0.39646,0.7758,0.60621,0.76182,3.32058,0.92753,0.00062871,0.00062871,0.00062871
4,214.942,0.86232,1.73261,1.08179,0.69948,0.34188,0.5323,0.38481,0.93886,3.44271,1.03456,0.00080826,0.00080826,0.00080826
5,287.08,0.8685,1.62969,1.08362,0.66447,0.70045,0.73672,0.56663,0.84347,2.60034,0.97098,0.000800013,0.000800013,0.000800013
6,380.394,0.86158,1.50255,1.06224,0.77665,0.71099,0.81914,0.63083,0.82183,2.17857,0.95743,0.000791767,0.000791767,0.000791767
7,447.441,0.81389,1.36018,1.04567,0.78853,0.83416,0.90348,0.72085,0.74392,1.85742,0.93395,0.00078352,0.00078352,0.00078352
8,556.205,0.83185,1.30449,1.05712,0.88409,0.73868,0.79168,0.59109,0.91495,1.71353,0.97307,0.000775273,0.000775273,0.000775273
9,675.595,0.80446,1.19354,1.03264,0.88179,0.69018,0.70885,0.55129,0.84464,1.46333,0.94419,0.000767026,0.000767026,0.000767026
10,802.901,0.80391,1.1209,1.03986,0.83587,0.67125,0.68798,0.54749,0.7476,1.22529,0.91728,0.00075878,0.00075878,0.00075878
11,919.172,0.769,1.04181,1.02576,0.84592,0.72345,0.74608,0.5908,0.78915,1.17783,0.92965,0.000750533,0.000750533,0.000750533
12,1010.62,0.76911,0.99049,1.02526,0.89627,0.85606,0.9022,0.71697,0.73891,1.10555,0.91722,0.000742286,0.000742286,0.000742286
13,1086.3,0.75592,0.93232,1.01821,0.86955,0.86951,0.91486,0.71533,0.79057,1.0494,0.92898,0.00073404,0.00073404,0.00073404
14,1150.77,0.75725,0.89024,1.00701,0.90161,0.92617,0.96343,0.77829,0.72395,0.91386,0.89752,0.000725793,0.000725793,0.000725793
15,1211.04,0.73771,0.87307,1.00097,0.90715,0.9094,0.94552,0.75895,0.73197,0.89818,0.90301,0.000717546,0.000717546,0.000717546
16,1265.26,0.75154,0.83394,1.00966,0.93702,0.92336,0.95034,0.75045,0.78016,0.83851,0.92235,0.000709299,0.000709299,0.000709299
17,1327.37,0.74648,0.80343,1.01808,0.85443,0.89389,0.90903,0.73014,0.72173,0.95893,0.89166,0.000701053,0.000701053,0.000701053
18,1386.03,0.72102,0.76514,0.99315,0.93952,0.93483,0.95603,0.76517,0.76624,0.73886,0.91665,0.000692806,0.000692806,0.000692806
19,1441.37,0.71769,0.73758,0.99309,0.94698,0.93528,0.96581,0.78808,0.69021,0.69189,0.88866,0.000684559,0.000684559,0.000684559
20,1499.09,0.69907,0.70677,0.99174,0.9249,0.94364,0.96439,0.8125,0.59828,0.64745,0.85849,0.000676313,0.000676313,0.000676313
21,1612.12,0.6997,0.70807,0.98834,0.89987,0.95969,0.962,0.78973,0.6825,0.6768,0.87559,0.000668066,0.000668066,0.000668066
22,1669.47,0.70677,0.69711,0.9917,0.94414,0.93925,0.9693,0.72935,0.93278,0.68273,0.95026,0.000659819,0.000659819,0.000659819
23,2646.35,0.68427,0.6878,0.99571,0.93028,0.94788,0.97141,0.79095,0.68518,0.60664,0.88515,0.000651573,0.000651573,0.000651573
24,2697.94,0.6932,0.68877,0.98978,0.9436,0.94342,0.97101,0.78124,0.7506,0.58897,0.89827,0.000643326,0.000643326,0.000643326
25,2749.2,0.6771,0.66279,0.978,0.92922,0.94054,0.96271,0.76801,0.76337,0.61609,0.90785,0.000635079,0.000635079,0.000635079
26,2799.44,0.66012,0.63737,0.96944,0.90991,0.91884,0.95417,0.76616,0.7534,0.63721,0.90539,0.000626832,0.000626832,0.000626832
27,2848.98,0.68102,0.66524,0.98544,0.91194,0.95026,0.96837,0.78127,0.72648,0.58518,0.90064,0.000618586,0.000618586,0.000618586
