epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,142.165,1.27556,3.64215,1.27349,0.811,0.25984,0.48112,0.30376,1.1605,3.52228,1.13221,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268
2,290.106,1.17186,2.22789,1.1864,0.61524,0.80376,0.69298,0.49716,0.94883,2.33113,1.05719,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415
3,443.224,1.21526,1.90358,1.21885,0.60395,0.3005,0.26862,0.13456,1.5132,8.49843,1.5277,0.0296809,0.00989362,0.0296809,0.00989362,0.0296809,0.00989362,0.0296809,0.00989362
4,604.305,1.25642,1.6974,1.25602,0.57538,0.28181,0.28203,0.15553,1.33935,6.41064,1.38503,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,775.691,1.23801,1.48129,1.25322,0.73272,0.2995,0.32362,0.22241,1.08375,2.71685,1.12523,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,953.896,1.20152,1.35238,1.24008,0.78419,0.32165,0.30752,0.20066,1.07906,1.18906,1.1152,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1128.73,1.16044,1.27763,1.20835,0.56917,0.30351,0.29724,0.18239,1.29442,1.55211,1.17323,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1304.48,1.15962,1.20992,1.20888,0.74391,0.43428,0.46153,0.32344,1.10078,1.34242,1.13527,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1495.92,1.13139,1.15046,1.1808,0.72465,0.50976,0.49348,0.31591,1.16281,1.30622,1.16165,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1671.07,1.09368,1.13722,1.18264,0.77241,0.65463,0.7037,0.46093,1.12365,1.32475,1.10733,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1836.92,1.10354,1.11674,1.17426,0.74401,0.66066,0.66099,0.49308,0.87399,0.94502,1.00863,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1992.84,1.05628,1.05034,1.15017,0.76655,0.81379,0.84103,0.64001,0.87708,0.90659,1.00881,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2147.83,1.06903,1.06307,1.154,0.7485,0.84439,0.82779,0.53835,1.18315,1.02606,1.13583,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2297.17,1.06145,1.05293,1.15655,0.76879,0.86422,0.8294,0.58454,0.97932,0.78522,1.05163,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2442.42,1.02146,1.01428,1.13013,0.75966,0.89801,0.83556,0.60324,0.94485,0.7583,1.02543,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2580.44,1.01696,0.99409,1.12606,0.80367,0.89296,0.86331,0.62515,0.93593,0.69072,1.01681,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2720.18,1.00342,0.97871,1.11442,0.76338,0.85117,0.87164,0.59931,1.10143,0.78226,1.0898,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2859.65,1.00323,0.97718,1.11938,0.80832,0.86701,0.88053,0.66211,0.82043,0.68155,0.98558,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2998.89,0.99058,0.95106,1.11287,0.79822,0.88995,0.85512,0.59581,1.03805,0.74453,1.05997,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,3141.61,0.99582,0.97018,1.11521,0.76473,0.83689,0.83142,0.57839,1.01293,0.79166,1.05022,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,3293.23,0.97419,0.93194,1.11389,0.82604,0.81423,0.86904,0.68058,0.79325,0.66612,0.96691,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,3447.11,0.97631,0.93592,1.10782,0.82569,0.85752,0.87877,0.64972,0.91782,0.69645,1.01919,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,3600.59,0.96934,0.92216,1.10853,0.76768,0.87168,0.8647,0.64558,0.87623,0.69326,0.98604,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,3752.1,0.9561,0.90157,1.09908,0.76377,0.88856,0.85981,0.64984,0.82552,0.71833,1.00139,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,3899.62,0.96577,0.90529,1.10088,0.81669,0.89321,0.88327,0.66882,0.83202,0.64272,0.98448,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,4049.16,0.93836,0.88359,1.09022,0.7862,0.91265,0.87234,0.65858,0.82466,0.6375,0.98711,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,4202.22,0.93592,0.89247,1.0919,0.77606,0.89539,0.86366,0.65312,0.87015,0.6764,0.99528,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,4354.27,0.925,0.87371,1.09197,0.81171,0.90189,0.88249,0.69801,0.75207,0.59959,0.94665,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,4513.45,0.92118,0.86532,1.07767,0.80944,0.85792,0.86382,0.66188,0.80531,0.65595,0.98488,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,4672.33,0.92967,0.87243,1.08014,0.76758,0.92973,0.87709,0.6866,0.75041,0.63419,0.95533,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
