epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.118,1.01631,3.34682,1.12232,0.9658,0.16093,0.60306,0.44662,0.84916,3.6073,0.9873,0.00027428,0.00027428,0.00027428
2,255.045,0.98348,1.99073,1.07382,0.65569,0.70336,0.72784,0.49712,1.0074,2.43464,1.07028,0.000548304,0.000548304,0.000548304
3,397.296,0.97531,1.67848,1.07618,0.69329,0.61608,0.62856,0.41499,0.99829,2.11146,1.07242,0.000818663,0.000818663,0.000818663
4,551.675,0.95148,1.49613,1.06421,0.74122,0.59568,0.58761,0.42922,0.8807,1.40723,0.97893,0.000816507,0.000816507,0.000816507
5,692.051,0.92605,1.25736,1.06015,0.76489,0.77215,0.74415,0.53116,0.88903,1.20124,1.00224,0.000811009,0.000811009,0.000811009
6,827.137,0.88386,1.11192,1.03966,0.70652,0.86993,0.83001,0.56721,1.08116,1.24689,1.0695,0.000805511,0.000805511,0.000805511
7,965.18,0.88477,1.04538,1.03658,0.78129,0.79809,0.77637,0.58569,0.82275,0.87315,0.97303,0.000800013,0.000800013,0.000800013
8,1095.64,0.85517,0.97082,1.02825,0.73794,0.84353,0.80562,0.60263,0.80942,0.88062,0.95495,0.000794515,0.000794515,0.000794515
9,1224.67,0.8478,0.94133,1.01869,0.84838,0.85079,0.8951,0.67085,0.86037,0.72974,0.98309,0.000789018,0.000789018,0.000789018
10,1348.39,0.84737,0.90447,1.02642,0.80989,0.90127,0.87055,0.64746,0.82864,0.73521,0.97186,0.00078352,0.00078352,0.00078352
11,1469.21,0.82819,0.84533,1.01671,0.78498,0.89234,0.86211,0.67031,0.72941,0.69997,0.9353,0.000778022,0.000778022,0.000778022
12,1590.16,0.79624,0.82171,1.00131,0.78376,0.85455,0.86873,0.69193,0.72057,0.71609,0.9387,0.000772524,0.000772524,0.000772524
13,1708.6,0.79083,0.80247,0.9997,0.76923,0.90778,0.87218,0.66816,0.80741,0.65781,0.9425,0.000767026,0.000767026,0.000767026
14,1826.26,0.78254,0.77749,0.99477,0.82179,0.88713,0.88307,0.725,0.65493,0.63476,0.91052,0.000761529,0.000761529,0.000761529
15,1945.53,0.79251,0.77873,0.99842,0.79957,0.88238,0.87609,0.66869,0.81521,0.65781,0.95314,0.000756031,0.000756031,0.000756031
16,2068.65,0.78109,0.76286,0.99897,0.80369,0.89191,0.89085,0.6737,0.85739,0.6444,0.95088,0.000750533,0.000750533,0.000750533
17,2197.09,0.76326,0.73648,0.987,0.74059,0.84038,0.86112,0.67342,0.75467,0.73909,0.92168,0.000745035,0.000745035,0.000745035
18,2326.14,0.76855,0.73367,0.98914,0.81321,0.87868,0.88218,0.63858,0.95493,0.6458,0.99579,0.000739537,0.000739537,0.000739537
19,2462.65,0.76715,0.7224,0.9856,0.75102,0.90017,0.84774,0.6252,0.88117,0.70266,0.97327,0.00073404,0.00073404,0.00073404
20,2593.12,0.74288,0.70314,0.9789,0.82222,0.88433,0.91064,0.74923,0.60058,0.56191,0.8947,0.000728542,0.000728542,0.000728542
21,2723.75,0.75517,0.70685,0.97828,0.79001,0.87839,0.86085,0.69639,0.67916,0.61105,0.90963,0.000723044,0.000723044,0.000723044
22,2847.65,0.7539,0.69917,0.99036,0.80547,0.89456,0.87918,0.7066,0.66301,0.57564,0.91177,0.000717546,0.000717546,0.000717546
23,2974.3,0.74762,0.69317,0.98831,0.80592,0.87975,0.90119,0.73332,0.66094,0.56278,0.9082,0.000712048,0.000712048,0.000712048
24,3092.33,0.73593,0.68077,0.97677,0.78557,0.9185,0.89253,0.69816,0.7309,0.57416,0.92473,0.000706551,0.000706551,0.000706551
25,3218.98,0.73734,0.66383,0.97622,0.80979,0.93075,0.89544,0.71807,0.69362,0.54571,0.91975,0.000701053,0.000701053,0.000701053
26,3345.27,0.73841,0.67769,0.97801,0.84561,0.89139,0.89922,0.73672,0.6421,0.54427,0.89247,0.000695555,0.000695555,0.000695555
27,3475.13,0.72043,0.65083,0.97255,0.81034,0.90667,0.89993,0.74022,0.61668,0.55814,0.89836,0.000690057,0.000690057,0.000690057
28,3604.58,0.71047,0.65695,0.9695,0.82985,0.88786,0.87712,0.70846,0.6623,0.57517,0.91258,0.000684559,0.000684559,0.000684559
29,3731.3,0.70419,0.63907,0.96249,0.84011,0.87634,0.90289,0.73335,0.64609,0.52933,0.90372,0.000679062,0.000679062,0.000679062
30,3856.92,0.71356,0.63606,0.96872,0.85271,0.86081,0.89729,0.70699,0.72249,0.55689,0.92298,0.000673564,0.000673564,0.000673564
31,3978.14,0.70149,0.64543,0.96594,0.8286,0.89288,0.89768,0.72528,0.68393,0.53141,0.9046,0.000668066,0.000668066,0.000668066
32,4102.92,0.69498,0.62107,0.96443,0.8594,0.87156,0.91659,0.75231,0.66624,0.53309,0.8973,0.000662568,0.000662568,0.000662568
33,4232.42,0.71596,0.64182,0.96788,0.83455,0.9148,0.91426,0.75011,0.66559,0.51957,0.90562,0.00065707,0.00065707,0.00065707
34,4360.8,0.7009,0.60392,0.96892,0.82716,0.87948,0.88163,0.71028,0.69218,0.55353,0.91337,0.000651573,0.000651573,0.000651573
35,4488.98,0.69462,0.62245,0.96479,0.82062,0.88808,0.9028,0.73805,0.67486,0.5416,0.90487,0.000646075,0.000646075,0.000646075
36,4612.12,0.68906,0.62286,0.95841,0.78009,0.90992,0.89203,0.738,0.60453,0.54508,0.89336,0.000640577,0.000640577,0.000640577
37,4738.31,0.6807,0.60859,0.95701,0.8602,0.87304,0.91193,0.7312,0.70167,0.52451,0.91239,0.000635079,0.000635079,0.000635079
38,4866.03,0.67295,0.60514,0.95508,0.81,0.91581,0.90333,0.72213,0.68392,0.53063,0.90818,0.000629581,0.000629581,0.000629581
39,5003.63,0.68268,0.59662,0.95525,0.8593,0.85883,0.90768,0.77515,0.54121,0.49852,0.87164,0.000624084,0.000624084,0.000624084
40,5141.34,0.67826,0.59675,0.9583,0.8395,0.90544,0.90622,0.74321,0.61638,0.5075,0.89405,0.000618586,0.000618586,0.000618586
41,5275.75,0.68104,0.58531,0.9585,0.863,0.86277,0.91133,0.74647,0.64918,0.50205,0.90399,0.000613088,0.000613088,0.000613088
42,5413.85,0.67891,0.58717,0.95997,0.80698,0.93855,0.90459,0.75482,0.56561,0.51178,0.88295,0.00060759,0.00060759,0.00060759
43,5553.63,0.67531,0.58983,0.95867,0.80986,0.88294,0.89143,0.72065,0.65686,0.53032,0.89469,0.000602092,0.000602092,0.000602092
44,5691.91,0.67386,0.59453,0.95826,0.86859,0.88247,0.91365,0.7751,0.52654,0.47065,0.87048,0.000596595,0.000596595,0.000596595
45,5837.15,0.67538,0.57914,0.9558,0.83514,0.89182,0.90935,0.7309,0.67929,0.508,0.8995,0.000591097,0.000591097,0.000591097
46,5988.27,0.66013,0.57116,0.95526,0.83908,0.8771,0.90462,0.73483,0.65908,0.5281,0.90152,0.000585599,0.000585599,0.000585599
47,6128.56,0.65395,0.58453,0.94786,0.84596,0.90944,0.92138,0.7724,0.57904,0.46555,0.87846,0.000580101,0.000580101,0.000580101
48,6271.55,0.64713,0.56872,0.9446,0.8312,0.92062,0.91891,0.76197,0.60815,0.47415,0.8841,0.000574603,0.000574603,0.000574603
49,6411.85,0.65189,0.55398,0.94381,0.82654,0.88948,0.89322,0.74608,0.59918,0.51167,0.87874,0.000569106,0.000569106,0.000569106
50,6556.96,0.64637,0.56501,0.95014,0.85548,0.88814,0.90379,0.7592,0.57579,0.49575,0.87856,0.000563608,0.000563608,0.000563608
51,6704.26,0.66213,0.57018,0.95098,0.84685,0.8938,0.899,0.75726,0.57335,0.49205,0.8802,0.00055811,0.00055811,0.00055811
52,6846.35,0.64863,0.54162,0.94045,0.83705,0.91088,0.91002,0.76222,0.56572,0.46355,0.87058,0.000552612,0.000552612,0.000552612
53,6984.02,0.64164,0.54741,0.93945,0.83153,0.90067,0.90615,0.75483,0.61855,0.50339,0.88652,0.000547114,0.000547114,0.000547114
54,7118.97,0.64016,0.54769,0.94701,0.85053,0.90374,0.9121,0.76379,0.59597,0.471,0.88408,0.000541617,0.000541617,0.000541617
55,7261.83,0.63637,0.53311,0.94406,0.82559,0.90795,0.8911,0.74285,0.59264,0.496,0.89205,0.000536119,0.000536119,0.000536119
56,7414.2,0.64364,0.53833,0.94531,0.81863,0.91867,0.91016,0.74704,0.61958,0.49601,0.89746,0.000530621,0.000530621,0.000530621
57,7557.14,0.63076,0.53947,0.93912,0.81508,0.9077,0.89526,0.73382,0.61668,0.51051,0.89281,0.000525123,0.000525123,0.000525123
58,7695.54,0.6321,0.53274,0.94598,0.81021,0.92479,0.9171,0.77636,0.55763,0.45734,0.87021,0.000519625,0.000519625,0.000519625
59,7836.52,0.63818,0.52416,0.94269,0.8431,0.9209,0.9206,0.77317,0.57332,0.4638,0.87444,0.000514128,0.000514128,0.000514128
60,7976.95,0.62237,0.53685,0.93134,0.83945,0.88299,0.91013,0.76991,0.55776,0.46362,0.87779,0.00050863,0.00050863,0.00050863
61,8119.13,0.62081,0.51606,0.93329,0.82442,0.90085,0.91456,0.76331,0.62868,0.48244,0.89292,0.000503132,0.000503132,0.000503132
62,8259.36,0.63163,0.52753,0.93842,0.80178,0.929,0.91352,0.77501,0.55387,0.47473,0.87437,0.000497634,0.000497634,0.000497634
63,8403.76,0.62954,0.5183,0.94195,0.80296,0.88226,0.90018,0.73977,0.61849,0.52282,0.89243,0.000492136,0.000492136,0.000492136
64,8547.07,0.61957,0.5232,0.93407,0.83979,0.89171,0.91104,0.7693,0.55071,0.48125,0.8661,0.000486639,0.000486639,0.000486639
65,8687.33,0.62168,0.51182,0.93358,0.82454,0.89735,0.90963,0.74495,0.62582,0.49703,0.88635,0.000481141,0.000481141,0.000481141
66,8838.03,0.6152,0.51689,0.93486,0.85543,0.86906,0.90838,0.76523,0.57947,0.4821,0.87189,0.000475643,0.000475643,0.000475643
67,8992.99,0.61445,0.51006,0.93249,0.86502,0.88745,0.9202,0.77051,0.57698,0.46304,0.87274,0.000470145,0.000470145,0.000470145
68,9138.94,0.61109,0.5124,0.93715,0.84867,0.87764,0.9138,0.75391,0.62452,0.47919,0.88849,0.000464647,0.000464647,0.000464647
69,9282.19,0.61168,0.49116,0.93384,0.86892,0.88662,0.91608,0.77268,0.55851,0.4623,0.87947,0.00045915,0.00045915,0.00045915
70,9422.66,0.60971,0.5022,0.93799,0.85753,0.87825,0.91723,0.78417,0.53001,0.46231,0.86599,0.000453652,0.000453652,0.000453652
71,9566.66,0.62189,0.51246,0.93746,0.8605,0.87676,0.9191,0.77679,0.55259,0.46421,0.87084,0.000448154,0.000448154,0.000448154
72,9714.56,0.60797,0.49522,0.92913,0.86189,0.87511,0.90541,0.77446,0.50047,0.47157,0.86,0.000442656,0.000442656,0.000442656
73,9874.25,0.60382,0.49069,0.93045,0.79944,0.93386,0.91706,0.78016,0.54517,0.45946,0.87236,0.000437158,0.000437158,0.000437158
74,10032.4,0.60273,0.49538,0.93094,0.81829,0.90061,0.90192,0.7784,0.52518,0.47587,0.86939,0.000431661,0.000431661,0.000431661
75,10188.1,0.60299,0.49353,0.92758,0.82937,0.89731,0.90413,0.77582,0.51393,0.47196,0.86737,0.000426163,0.000426163,0.000426163
76,10359.1,0.60567,0.48008,0.9335,0.81167,0.91716,0.90322,0.77399,0.54151,0.49624,0.86723,0.000420665,0.000420665,0.000420665
77,10528.2,0.59827,0.48706,0.9319,0.84665,0.88601,0.91101,0.78526,0.5116,0.44946,0.86496,0.000415167,0.000415167,0.000415167
