epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,136.225,1.28455,3.69738,1.28863,0.67259,0.07394,0.3692,0.22791,1.12127,3.72936,1.14346,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268,0.00987805,0.00329268
2,280.263,1.17753,2.26195,1.20265,0.71014,0.66663,0.71148,0.4983,1.03031,2.3265,1.10573,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415,0.0198125,0.00660415
3,432.035,1.21245,1.94749,1.22499,0.59015,0.21421,0.24339,0.12912,1.60715,11.4483,1.55188,0.0296809,0.00989362,0.0296809,0.00989362,0.0296809,0.00989362,0.0296809,0.00989362
4,586.797,1.26937,1.73456,1.27077,0.71554,0.35882,0.38001,0.23267,1.25445,5.08224,1.25764,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,752.139,1.24195,1.48145,1.25112,0.6056,0.33813,0.3046,0.19511,1.17638,2.98855,1.17868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,930.257,1.2003,1.3671,1.24276,0.48559,0.29447,0.28647,0.20163,0.96523,1.62433,1.07496,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1107.87,1.1728,1.27852,1.21641,0.65635,0.41422,0.40437,0.22704,1.44925,2.4262,1.31193,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1282.19,1.15205,1.19951,1.20488,0.78368,0.52236,0.56597,0.37296,1.12404,1.24093,1.12963,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1442.41,1.12461,1.1487,1.17403,0.73478,0.82463,0.8191,0.61243,0.86787,0.95926,1.0137,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1592.59,1.09819,1.12963,1.18525,0.75183,0.91548,0.86407,0.63527,0.92625,0.89926,1.03222,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1741.13,1.10206,1.09964,1.18266,0.72123,0.87599,0.80385,0.56496,0.95984,0.84265,1.04767,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1888.93,1.05218,1.0506,1.15476,0.74977,0.89108,0.8473,0.64511,0.82355,0.76784,0.98886,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
