epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,180.702,1.33738,3.71239,1.29686,0.61315,0.27889,0.43177,0.25745,1.25235,3.74975,1.23185,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897
2,368.825,1.23546,2.28476,1.20505,0.53319,0.63112,0.60592,0.34377,1.57532,2.96538,1.463,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042
3,567.189,1.27646,1.93751,1.23578,0.44739,0.34739,0.32436,0.21266,1.30017,6.52897,1.28576,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986
4,768.512,1.34217,1.73621,1.29223,0.29172,0.35681,0.26852,0.14477,1.69931,8.34796,1.64912,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,990.528,1.2997,1.50329,1.26735,0.17557,0.16439,0.1112,0.07427,1.48001,3.74702,1.47594,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1213.79,1.27182,1.39227,1.2526,0.56241,0.27084,0.25635,0.16724,1.30919,1.44936,1.31876,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1437.93,1.23369,1.31295,1.23368,0.6779,0.47104,0.44396,0.29454,1.31535,1.22679,1.36218,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1657.88,1.21639,1.26684,1.22151,0.62635,0.31661,0.31316,0.1993,1.68834,2.50728,1.47998,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1878.73,1.19338,1.22835,1.21739,0.70067,0.7148,0.68233,0.46011,1.13331,1.07847,1.18613,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,2093.57,1.17846,1.17405,1.19809,0.67533,0.86021,0.78583,0.50726,1.26068,1.13154,1.19111,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,2302.05,1.1415,1.11621,1.17375,0.76018,0.88396,0.84712,0.55713,1.29234,0.86509,1.24214,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,2504.52,1.13848,1.11942,1.17629,0.73488,0.85806,0.82542,0.57469,1.11371,0.98951,1.19266,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2736.8,1.11878,1.09519,1.17024,0.65561,0.44586,0.44298,0.27664,1.33214,2.30257,1.26161,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2939.85,1.10349,1.05853,1.16365,0.764,0.90684,0.86778,0.52531,1.3836,0.89957,1.24775,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3143.63,1.09201,1.06232,1.16062,0.77229,0.84134,0.8505,0.5894,1.13373,0.82799,1.16139,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,3350.83,1.07526,1.02846,1.14858,0.75494,0.8678,0.85337,0.55486,1.20951,0.84496,1.21468,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,3555.82,1.07042,1.0263,1.14133,0.78954,0.85443,0.8507,0.60875,1.03868,0.78453,1.11894,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,3754.99,1.07104,1.0217,1.14537,0.77446,0.84816,0.82872,0.56608,1.19483,0.98477,1.16643,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,3959.86,1.03891,0.98544,1.12997,0.77182,0.88651,0.86271,0.62909,1.02081,0.7789,1.10918,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,4165.78,1.04823,0.99674,1.12795,0.80046,0.82507,0.84603,0.58167,1.11176,0.80502,1.14249,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,4368.51,1.03501,0.97888,1.12681,0.74542,0.92451,0.8798,0.64153,1.02774,0.76419,1.10749,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,4572.49,1.02726,0.96036,1.12387,0.79872,0.86992,0.86597,0.59343,1.1392,0.78582,1.15412,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,4774.02,1.02867,0.96052,1.12466,0.806,0.87297,0.86963,0.64331,0.87871,0.73607,1.04375,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,4979.17,1.0139,0.9573,1.11681,0.81434,0.8907,0.87329,0.64822,0.92834,0.73173,1.04707,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,5182.32,1.00282,0.93201,1.10423,0.7674,0.91067,0.86099,0.63511,0.96575,0.78295,1.07832,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,5382.41,1.01037,0.9444,1.11196,0.75235,0.89567,0.83031,0.60954,1.01444,0.78078,1.06937,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,5579.74,1.00154,0.91894,1.09805,0.81061,0.87989,0.88574,0.64771,0.93538,0.71535,1.05187,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,5777.25,0.98562,0.92238,1.09594,0.79783,0.91805,0.87218,0.65765,0.89325,0.69503,1.04168,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,5975.33,0.97395,0.90564,1.08908,0.82168,0.8927,0.87326,0.66505,0.84591,0.66223,1.02482,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,6175.77,0.98022,0.90027,1.09742,0.79205,0.88826,0.8708,0.58698,1.12832,0.79936,1.12469,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,6376.95,0.98032,0.92032,1.10036,0.81557,0.84106,0.8648,0.65992,0.77799,0.69348,1.00599,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,6571.73,0.96468,0.89803,1.09029,0.81953,0.93333,0.89522,0.66103,0.9353,0.70882,1.04789,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,6767.9,0.96076,0.86483,1.08996,0.82062,0.87806,0.87651,0.64216,1.00901,0.67912,1.09174,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,6962.58,0.96767,0.88212,1.08672,0.78078,0.92609,0.86812,0.64811,0.95228,0.6793,1.05321,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,7166.88,0.95853,0.88243,1.08765,0.77942,0.89668,0.84931,0.62429,0.94505,0.71876,1.04462,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,7364.85,0.94017,0.87816,1.07454,0.77093,0.88778,0.85711,0.65087,0.84555,0.68774,1.00063,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
