epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1262,0.74135,3.76375,1.05529,0.00664,0.97518,0.28927,0.25001,0.42349,4.01351,0.82489,0.00020825,0.00020825,0.00020825
2,116.705,0.71165,2.6296,1.03558,0.00445,0.9752,0.50948,0.427,0.52963,3.92714,0.87016,0.000420624,0.000420624,0.000420624
3,173.716,0.69924,1.98098,1.00452,0.76007,0.10481,0.59214,0.48487,0.56093,3.48652,0.89127,0.00062871,0.00062871,0.00062871
4,230.782,0.69606,1.64645,0.99137,0.53195,0.44644,0.52078,0.36771,0.77046,3.38467,1.06432,0.00080826,0.00080826,0.00080826
5,297.68,0.67471,1.53145,0.98843,0.8056,0.47564,0.65013,0.54668,0.60398,2.95378,0.91226,0.000800013,0.000800013,0.000800013
6,383.234,0.66657,1.39598,0.99204,0.71372,0.64462,0.72247,0.61879,0.56088,2.11778,0.90064,0.000791767,0.000791767,0.000791767
7,501.841,0.64962,1.30087,0.97363,0.77775,0.65986,0.70264,0.59439,0.56432,2.01188,0.90217,0.00078352,0.00078352,0.00078352
8,615.681,0.63298,1.17795,0.97052,0.90713,0.69803,0.72095,0.62865,0.49483,1.36061,0.84472,0.000775273,0.000775273,0.000775273
9,746.148,0.61809,1.08543,0.96269,0.84685,0.68492,0.70107,0.61388,0.50673,1.32307,0.85596,0.000767026,0.000767026,0.000767026
10,837.213,0.59082,1.03808,0.95415,0.86307,0.87606,0.94118,0.83766,0.47567,1.23365,0.84449,0.00075878,0.00075878,0.00075878
11,977.972,0.59561,1.00623,0.96019,0.83847,0.56452,0.59327,0.51626,0.47327,1.15679,0.8549,0.000750533,0.000750533,0.000750533
12,1076.44,0.56946,0.92155,0.94523,0.93172,0.9189,0.9449,0.84919,0.44653,0.93866,0.85776,0.000742286,0.000742286,0.000742286
13,1205.42,0.5672,0.88363,0.94556,0.92759,0.69554,0.72375,0.64813,0.44643,0.80948,0.83308,0.00073404,0.00073404,0.00073404
14,1276.73,0.53121,0.80671,0.92999,0.87899,0.93122,0.94596,0.85492,0.43497,0.85519,0.84309,0.000725793,0.000725793,0.000725793
15,1333.57,0.54386,0.79901,0.94528,0.92586,0.94137,0.96175,0.87178,0.42153,0.73639,0.8325,0.000717546,0.000717546,0.000717546
16,1394.08,0.55682,0.77209,0.94455,0.89797,0.92813,0.92648,0.84168,0.42813,0.76758,0.83608,0.000709299,0.000709299,0.000709299
17,1459.18,0.53082,0.74362,0.93597,0.89503,0.90396,0.94803,0.86588,0.41248,0.84208,0.84027,0.000701053,0.000701053,0.000701053
18,1522.28,0.52992,0.73478,0.93455,0.89768,0.93019,0.951,0.86277,0.42172,0.73726,0.82816,0.000692806,0.000692806,0.000692806
19,1587.44,0.52275,0.73374,0.93895,0.90171,0.93124,0.95852,0.88598,0.37755,0.68014,0.82237,0.000684559,0.000684559,0.000684559
20,1653.01,0.51004,0.69345,0.93071,0.92325,0.93714,0.95888,0.86599,0.41171,0.61631,0.82533,0.000676313,0.000676313,0.000676313
21,1710.95,0.52804,0.69032,0.93001,0.93334,0.93258,0.96186,0.88631,0.37681,0.59305,0.82626,0.000668066,0.000668066,0.000668066
22,1770.41,0.52513,0.67572,0.92841,0.90923,0.93905,0.9628,0.89342,0.37274,0.58513,0.81778,0.000659819,0.000659819,0.000659819
23,1830.02,0.50394,0.64719,0.92699,0.89392,0.89294,0.93832,0.86305,0.37866,0.70791,0.83154,0.000651573,0.000651573,0.000651573
24,1893.15,0.50106,0.64336,0.92405,0.90288,0.91633,0.95304,0.89047,0.36749,0.62501,0.82483,0.000643326,0.000643326,0.000643326
25,1956.06,0.48056,0.62887,0.92093,0.9169,0.94034,0.96544,0.89049,0.37064,0.56977,0.81319,0.000635079,0.000635079,0.000635079
26,2018.81,0.48425,0.61599,0.92053,0.93591,0.94282,0.97419,0.90823,0.34755,0.50125,0.80822,0.000626832,0.000626832,0.000626832
