epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.005,1.28864,3.71242,1.2687,0.1,0.04062,0.03243,0.01563,1.46863,4.14541,1.48069,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897,0.00989691,0.00329897
2,299.104,1.21468,2.28524,1.19783,0.64708,0.75878,0.68915,0.47125,1.0133,2.67411,1.1043,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042,0.0198312,0.00661042
3,466.496,1.25594,1.90438,1.20335,0.46357,0.46227,0.49278,0.28685,1.28064,5.16268,1.32638,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986,0.0296996,0.00989986
4,641.653,1.32168,1.65799,1.25766,0.33141,0.39313,0.24373,0.1372,1.60307,5.24699,1.60425,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,805.666,1.25406,1.41061,1.22851,0.6271,0.53178,0.62604,0.40202,1.19922,2.67029,1.25064,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,982.404,1.237,1.31489,1.23237,0.62297,0.72324,0.70568,0.4626,1.24653,2.30128,1.21119,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1139.49,1.20142,1.23989,1.20325,0.64452,0.81564,0.73922,0.52678,1.08625,1.12706,1.14296,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1309.15,1.18613,1.18863,1.20062,0.67025,0.78367,0.71342,0.46356,1.23778,1.33538,1.26794,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1484.33,1.15152,1.13428,1.17845,0.63996,0.7596,0.64238,0.37394,1.48874,1.21814,1.26134,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1657.01,1.12241,1.09492,1.16754,0.69772,0.8227,0.76126,0.55342,1.03296,0.92363,1.09643,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1808.77,1.11641,1.08111,1.16607,0.75003,0.85976,0.80191,0.5559,1.14808,0.89445,1.12989,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1954.63,1.0916,1.04222,1.13941,0.65767,0.86965,0.73639,0.50259,1.20704,0.92132,1.18947,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,2102.72,1.06961,1.01337,1.13194,0.69305,0.83618,0.73704,0.49728,1.118,0.98281,1.14161,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2252.91,1.07197,1.00422,1.13424,0.77066,0.86984,0.84129,0.54378,1.20817,0.8676,1.17384,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2402.03,1.0334,0.97469,1.11482,0.73262,0.85591,0.77752,0.49126,1.26873,0.94593,1.18436,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2551.79,1.04369,0.96933,1.12305,0.80412,0.89041,0.83057,0.5411,1.19349,0.79242,1.10368,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2703.44,1.03384,0.9444,1.11322,0.77354,0.85588,0.77323,0.5202,1.12989,0.79888,1.12868,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
