epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.723,1.37924,4.2516,1.40103,0.71291,0.21933,0.38568,0.23439,1.22184,3.92803,1.15562,0.000253691,0.000253691,0.000253691
2,332.222,1.21597,2.98245,1.28522,0.64832,0.53887,0.63494,0.4287,1.157,2.75941,1.13919,0.000507499,0.000507499,0.000507499
3,510.305,1.21891,2.4555,1.28828,0.5216,0.48619,0.53581,0.34254,1.22259,2.6087,1.16825,0.00075877,0.00075877,0.00075877
4,695.964,1.22507,2.12349,1.29016,0.45329,0.46808,0.39305,0.23241,1.39216,2.22343,1.24237,0.00075758,0.00075758,0.00075758
5,889.003,1.19009,1.8108,1.25395,0.60241,0.5808,0.49719,0.34596,1.11681,1.40798,1.10746,0.000753774,0.000753774,0.000753774
6,1067.07,1.13477,1.66496,1.23306,0.63908,0.84012,0.76289,0.50931,1.22319,1.34059,1.13599,0.000749967,0.000749967,0.000749967
7,1238.4,1.13447,1.49071,1.21062,0.67904,0.7702,0.73758,0.46567,1.34932,1.24405,1.18938,0.000746161,0.000746161,0.000746161
8,1396.53,1.08644,1.40606,1.19353,0.7256,0.83966,0.7792,0.48035,1.35182,1.17071,1.17103,0.000742354,0.000742354,0.000742354
9,1559.33,1.08381,1.38038,1.19562,0.69287,0.85485,0.81503,0.55064,1.18017,1.04859,1.08521,0.000738548,0.000738548,0.000738548
10,1735.94,1.05438,1.31066,1.17596,0.79975,0.84598,0.84121,0.57134,1.14307,1.02187,1.09632,0.000734741,0.000734741,0.000734741
11,1895.58,1.04812,1.27336,1.18828,0.71911,0.84749,0.81459,0.5116,1.25332,0.97987,1.15736,0.000730935,0.000730935,0.000730935
12,2056.59,1.04013,1.23048,1.16384,0.76344,0.89507,0.83841,0.55982,1.18059,0.96062,1.11414,0.000727128,0.000727128,0.000727128
13,2214.5,0.99678,1.19827,1.14131,0.79154,0.87004,0.85111,0.58636,1.08898,0.90524,1.06814,0.000723321,0.000723321,0.000723321
14,2372.84,1.01786,1.19124,1.16432,0.75743,0.88208,0.85278,0.56256,1.26208,0.8977,1.10321,0.000719515,0.000719515,0.000719515
15,2529.71,0.99956,1.19244,1.14852,0.78224,0.89507,0.86574,0.59576,1.10336,0.86231,1.05681,0.000715708,0.000715708,0.000715708
16,2686.01,0.96661,1.18942,1.145,0.75523,0.88327,0.84401,0.59042,1.08261,0.88539,1.05099,0.000711902,0.000711902,0.000711902
17,2843.78,0.97113,1.14907,1.13783,0.73832,0.90344,0.84493,0.54751,1.23101,0.8581,1.10208,0.000708095,0.000708095,0.000708095
